"id","name","address","phone","url","latitude","longitude"
"1","http://goldenstatecrossfit.com/","11174 La Grange Ave, Los Angeles, CA","(818) 665-6512","Golden State CrossFit","34.0423563","-118.4413598"
"3","http://www.crossfitpersist.com/","165 Amboy Ave, #705, Morganville, NJ","(732) 687-1050","CrossFit Persist","40.360365","-74.289418"
"4","http://www.farnorthcrossfit.com","17 Finlayson Street, Whangarei, Northland","021 022 09234","Far North CrossFit","-35.7270373","174.3274186"
"5","http://crossfitdubuque.com/","3188 Hughes Court, Dubuque, IA","(563) 552-8423","CrossFit Dubuque","42.4807599","-90.7091907"
"6","http://www.ballstoncrossfit.com/","1110 North Glebe Rd, Arlington, VA","(703) 688-2238","Ballston CrossFit","38.8837502","-77.1172427"
"8","http://www.crossfitmoorabbin.com","16 Coachranes Road, Moorabbin, Victoria","+61 (0)418 565 065","CrossFit Moorabbin","-37.9422822","145.0619681"
"9","http://www.crossfitbartlesville.com","3822 SE Kentucky Suite 13-14, Bartlesville, OK","(918) 350-0120","CrossFit Bartlesville","36.7552459","-95.9354815"
"10","http://www.armorcrossfit.com/","880 Macguire Road, Unit B, Ocoee, FL","(407) 614-8997","Armor CrossFit","28.556221","-81.543222"
"11","http://www.crossfit5150.com","1480 E 28th St, Signal Hill, CA","(714) 883-2182","CrossFit 5150","33.8080324","-118.1733102"
"12","http://www.crossfitkarlstad.se/","Kolvgatan 1A, Karlstad, Värmlands Län","+46708282471","CrossFit Karlstad","59.3896205","13.4792898"
"13","http://soulruckus.com/","3750 S Mason Road, Katy, TX","(281) 761-7877","CrossFit Soul Ruckus","29.732115","-95.756903"
"14","http://reebokcrossfitstolitsa.ru/","4/1 Proektiruemy proezd 5231, Moscow, Moscow","79153737403","CrossFit Reebok Stolitsa","55.671153847192215","37.438650493316686"
"16","http://www.crossfitbelair.com/","350 Granary Road, Forest Hill, MD","(443) 564-1882","CrossFit Bel Air","39.568371","-76.360305"
"17","http://crossfitsugarland.com/","5750 New Territory Blvd, Sugar Land, TX","(713) 962-9515","CrossFit Sugar Land","29.5902022","-95.6770173"
"18","http://www.crossfitconshohocken.com/","701 E Elm St, Conshohocken, PA","(215) 435-4484","CrossFit Conshohocken","40.073533","-75.293705"
"19","http://crossfit603.com/","98 Old Derry Road, Unit B1, Hudson, NH","(603) 490-3188","CrossFit 603","42.8091956","-71.4136647"
"20","http://auxiliarycrossfit.com/","225 Sterling Road, Toronto, ON","(416) 859-8266","Auxiliary CrossFit","43.6553484","-79.4463025"
"22","http://www.crossfithonor.com","7562 Penn Dr., Suite 160, Allentown, PA","(610) 248-8050","CrossFit Honor","40.5774067","-75.6163645"
"23","http://","Reebok Ltd. Pepper Rd, Cheshire, England","447595344833","CrossFit Reebok Stockport","53.37794437775","-2.1412024056885457"
"24","http://www.alisocrossfit.com","6 Journey, Suite 300, Aliso Viejo, CA","(949) 374-9110","Aliso CrossFit","33.5687355","-117.7283231"
"25","http://www.crossfitexceed.com/","25003 Pitkin Rd. Unit G200, Spring, TX","(832) 726-2900","CrossFit Exceed","30.122481","-95.4396919"
"26","http://crossfitsouthtyler.com/","105 E. Main, Bullard, TX","(903) 534-8444","CrossFit 1832","32.1399108","-95.3210524"
"27","http://fitstrongunitedcrossfit.com/","2310 N Navarro Ste B, Victoria, TX","(361) 648-6696","Fit Strong United CrossFit","28.816634","-96.999895"
"28","http://crossfitxclusive.com/","976 rue Principale, suite 2, Beresford, NB","(506) 226-0607","CrossFit Xclusive","47.6909316","-65.7001882"
"29","http://www.crossfitescazu.com/","De la antigua rotonda de Multiplaza de Escazú, 300 mts norte.  Bodegas Roca Azul Center #12, Escazu, San Jose","(506) 2215-0608","CrossFit Snaga Escazu","9.920695","-84.1461519"
